Unnamed: 0,카페 번호,카페 이름,도로명 주소,URL
32,1149334085.0,달몬트,전남 목포시 해안로 79,https://m.place.naver.com/restaurant/1149334085/home
33,1163715721.0,오너리스 목포점,전남 목포시 미항로 87-1 1층 오너리스,https://m.place.naver.com/restaurant/1163715721/home
34,1444754474.0,아마빌레,"전남 목포시 산정로238번길 4-1 카페 아마빌레 1,2층",https://m.place.naver.com/restaurant/1444754474/home
35,38511167.0,플로렌스&탕후루,전남 목포시 삼일로 52-4 플로렌스,https://m.place.naver.com/restaurant/38511167/home
36,1475748479.0,카페 명지,전남 목포시 마인계터로40번길 2-16 명지,https://m.place.naver.com/restaurant/1475748479/home
37,1486868804.0,롤앤베이크,전남 목포시 영산로40번길 3-2 1층,https://m.place.naver.com/restaurant/1486868804/home
38,1772567388.0,CLAIRE,전남 목포시 호남로64번길 31 보해상가 1층,https://m.place.naver.com/restaurant/1772567388/home
39,1080128067.0,카페모퉁이,"전남 목포시 번영로 51 1,2층",https://m.place.naver.com/restaurant/1080128067/home
40,1929334949.0,목포딸기모찌 본점,전남 목포시 번영로 167 1층,https://m.place.naver.com/restaurant/1929334949/home
41,19980157.0,투썸플레이스 목포하당점,전남 목포시 통일대로 66,https://m.place.naver.com/restaurant/19980157/home
42,1611999380.0,요거트아이스크림의정석 하당점,전남 목포시 부흥로 69 102동 상가 103호,https://m.place.naver.com/restaurant/1611999380/home
43,1178457410.0,꾸움,"전남 목포시 해안로165번길 48-1 1, 2층",https://m.place.naver.com/restaurant/1178457410/home
44,1876382239.0,파더스베이글 목포점,전남 목포시 백년대로 383 1층,https://m.place.naver.com/restaurant/1876382239/home
45,1210076422.0,다온커피,전남 목포시 원산로145번길 12,https://m.place.naver.com/restaurant/1210076422/home
46,1457978497.0,백야,전남 목포시 수문로 40-2 1층 백야,https://m.place.naver.com/restaurant/1457978497/home
47,38427392.0,산들소리찻집,전남 목포시 후광대로105번안길 2 산들소리찻집,https://m.place.naver.com/restaurant/38427392/home
48,1962642000.0,Cafe 리네아 하얀목화 유달2호점,전남 목포시 해안로165번길 41-1 1층,https://m.place.naver.com/restaurant/1962642000/home
49,1749309324.0,커피다옴,전남 목포시 포미로10번길 16-1 커피다옴,https://m.place.naver.com/restaurant/1749309324/home
0,1552026181.0,몽글푸딩,전남 목포시 영산로40번길 9 1층,https://m.place.naver.com/restaurant/1552026181/home
1,1261194481.0,위드베이크,전남 목포시 평화로 124 위드베이크,https://m.place.naver.com/restaurant/1261194481/home
2,1989843578.0,소문난만두찐빵,전남 목포시 석현로 28 청호시장,https://m.place.naver.com/restaurant/1989843578/home
3,1805097605.0,프랭크커핀바 목포북항점,전남 목포시 원산로69번안길 2 1층,https://m.place.naver.com/restaurant/1805097605/home
4,1435477014.0,달꽃담은,전남 목포시 삼각로43번길 7-1 달꽃담은,https://m.place.naver.com/restaurant/1435477014/home
5,1205007714.0,스타벅스 목포터미널DT점,전남 목포시 영산로 495,https://m.place.naver.com/restaurant/1205007714/home
6,1014838237.0,라망,전남 목포시 남악1로42번길 1 1층,https://m.place.naver.com/restaurant/1014838237/home
7,35221648.0,스타벅스 목포옥암점,전남 목포시 백년대로375번길 1,https://m.place.naver.com/restaurant/35221648/home
8,1011842337.0,메이커,전남 목포시 하당로60번길 10-2 1층,https://m.place.naver.com/restaurant/1011842337/home
9,1797316008.0,카페유달역,전남 목포시 영산로75번길 3-2,https://m.place.naver.com/restaurant/1797316008/home
10,1296301403.0,부바브루어스,전남 목포시 양을로232번길 3-1 1F 부바브루어스,https://m.place.naver.com/restaurant/1296301403/home
11,1625338735.0,시그니처 커피 로스터리,전남 목포시 삼학로334번길 10,https://m.place.naver.com/restaurant/1625338735/home
12,1201138609.0,매머드익스프레스 목포하당점,전남 목포시 비파로 96 1층 상가 113호,https://m.place.naver.com/restaurant/1201138609/home
13,1727614048.0,카페마일로 목포평화광장점,"전남 목포시 평화로83번길 16 1, 2층 101, 201호",https://m.place.naver.com/restaurant/1727614048/home
14,1208119153.0,아틀리에능소화,전남 목포시 해안로173번길 42,https://m.place.naver.com/restaurant/1208119153/home
15,1992462991.0,천사카롱제과점,전남 목포시 비파로 52 2층,https://m.place.naver.com/restaurant/1992462991/home
16,1302788714.0,더뷰,전남 목포시 해양대학로 66-2 더뷰,https://m.place.naver.com/restaurant/1302788714/home
17,1872993316.0,카페 수무,"전남 목포시 유달로 224 1층, 옥상층",https://m.place.naver.com/restaurant/1872993316/home
18,915571826.0,스타벅스 목포하당점,전남 목포시 백년대로 293,https://m.place.naver.com/restaurant/915571826/home
19,1059845402.0,쿠레레,전남 목포시 해안로229번길 19 1층,https://m.place.naver.com/restaurant/1059845402/home
20,1163770818.0,온후,전남 목포시 산정로37번길 12 1층 카페 온후,https://m.place.naver.com/restaurant/1163770818/home
21,1280262029.0,WAVE,"전남 목포시 수문로 15-2 1층 웨이브 카페, 2층 웨이브 공방",https://m.place.naver.com/restaurant/1280262029/home
22,1532052136.0,그리핀,전남 목포시 원산로145번안길 6-1,https://m.place.naver.com/restaurant/1532052136/home
23,1897321059.0,성수동꿀꽈배기 목포점,전남 목포시 부흥로 32 하당초원아파트 상가 1동,https://m.place.naver.com/restaurant/1897321059/home
24,1785476929.0,메가MGC커피 목포평화광장점,전남 목포시 원형로 48 1층 메가커피,https://m.place.naver.com/restaurant/1785476929/home
25,38290527.0,와플킹 목포점,전남 목포시 산정로186번길 1 1층,https://m.place.naver.com/restaurant/38290527/home
26,1282441242.0,디저트39 목포평화광장점,전남 목포시 원형로 37-1,https://m.place.naver.com/restaurant/1282441242/home
27,1726283558.0,평화다락방,전남 목포시 평화로 38-2,https://m.place.naver.com/restaurant/1726283558/home
28,1010995398.0,"담을꿈굿즈샵, 오월의하루공방카페",전남 목포시 영산로75번길 4-2 1층 담을꿈(구)오월의하루,https://m.place.naver.com/restaurant/1010995398/home
29,1920318746.0,토브,전남 목포시 삼향천로 25 1층,https://m.place.naver.com/restaurant/1920318746/home
30,1027299952.0,테이크목포,전남 목포시 영산로 15-1 1층,https://m.place.naver.com/restaurant/1027299952/home
31,1709482285.0,카페판도라,전남 목포시 평화로43번길 11-1 1층,https://m.place.naver.com/restaurant/1709482285/home
